timestamp,smoothed_ear,smoothed_mar,blink_count,drowsy,yawn,head_tilt_deg,liveness_ok
2025-08-12T13:55:43.816947,0.291,0.003,0,0,0,7.58,0
2025-08-12T13:55:44.821158,0.336,0.053,0,0,0,9.27,0
2025-08-12T13:55:45.833172,0.337,0.006,0,0,0,7.13,0
2025-08-12T13:55:46.870576,0.306,0.006,0,0,0,10.02,0
2025-08-12T13:55:47.873908,0.295,0.005,1,0,0,9.91,1
2025-08-12T13:55:48.881557,0.392,0.027,1,0,0,4.97,1
2025-08-12T13:55:49.894103,0.302,0.003,1,0,0,8.01,1
2025-08-12T13:55:50.900552,0.283,0.004,1,0,0,5.01,1
2025-08-12T13:55:51.905783,0.302,0.003,1,0,0,7.91,0
2025-08-12T13:55:52.913101,0.338,0.005,1,0,0,8.21,0
2025-08-12T13:55:53.957685,0.341,0.005,1,0,0,9.14,1
2025-08-12T13:55:54.972755,0.343,0.005,1,0,0,18.23,1
2025-08-12T13:55:55.974252,0.215,0.001,3,0,0,24.55,1
2025-08-12T13:55:56.981681,0.292,0.002,3,0,0,24.13,1
2025-08-12T13:55:57.986890,0.034,0.001,4,0,0,24.29,1
2025-08-12T13:55:59.002712,0.031,0.002,4,1,0,23.77,1
2025-08-12T13:56:00.027969,0.241,0.002,4,0,0,22.20,1
2025-08-12T13:56:01.041154,0.224,0.003,4,0,0,21.91,1
2025-08-12T13:56:02.050789,0.264,0.002,4,0,0,22.20,0
2025-08-12T13:56:04.972078,0.315,0.002,4,0,0,4.27,1
2025-08-12T13:56:05.987810,0.163,0.029,4,0,0,10.83,1
2025-08-12T13:56:08.481036,0.323,0.009,4,0,0,5.82,1
2025-08-12T13:56:10.544874,0.318,0.008,4,0,0,2.45,1
2025-08-12T13:56:12.622814,0.315,0.007,4,0,0,10.42,1
2025-08-12T13:56:14.676233,0.298,0.008,4,0,0,2.04,1
2025-08-12T13:56:16.753736,0.301,0.007,4,0,0,5.05,1
2025-08-12T13:56:18.812520,0.302,0.012,4,0,0,6.33,1
2025-08-12T13:56:19.828427,0.317,0.022,4,0,0,6.84,1
2025-08-12T13:56:20.839074,0.305,0.052,4,0,0,6.05,0
2025-08-12T13:56:21.841106,0.202,0.017,5,0,0,0.74,1
2025-08-12T13:56:22.850612,0.270,0.006,5,0,0,0.40,1
2025-08-12T13:56:23.910045,0.088,0.003,5,0,0,1.27,1
2025-08-12T13:56:24.917993,0.067,0.003,5,1,0,2.08,1
2025-08-12T13:56:25.922207,0.056,0.003,5,0,0,2.37,0
2025-08-12T13:56:26.940870,0.077,0.004,5,0,0,1.48,0
2025-08-12T13:56:27.968774,0.197,0.003,5,0,0,1.05,0
2025-08-12T13:56:28.990752,0.264,0.005,5,0,0,1.03,1
2025-08-12T13:56:30.052204,0.125,0.004,5,0,0,3.30,1
2025-08-12T13:56:31.053145,0.041,0.004,5,0,0,3.23,0
2025-08-12T13:56:32.067464,0.028,0.004,5,0,0,3.60,0
2025-08-12T13:56:33.091545,0.030,0.004,5,0,0,3.83,0
2025-08-12T13:56:34.099592,0.083,0.003,5,0,0,2.00,0
2025-08-12T13:56:35.130658,0.269,0.002,5,0,0,1.96,0
2025-08-12T13:56:36.130962,0.257,0.010,5,0,0,9.35,1
2025-08-12T13:56:37.145210,0.282,0.689,5,0,0,3.95,1
2025-08-12T13:56:38.229207,0.237,0.614,5,0,0,2.35,1
2025-08-12T13:56:39.274711,0.234,0.636,5,0,0,2.69,0
2025-08-12T13:56:40.292002,0.229,0.707,5,0,0,2.32,1
2025-08-12T13:56:41.303177,0.291,0.008,5,0,0,6.83,0
2025-08-12T13:56:42.317618,0.216,0.006,5,0,0,1.47,1
2025-08-12T13:56:45.278024,0.329,0.003,5,0,0,14.85,1
2025-08-12T13:56:47.306643,0.324,0.003,5,0,0,2.16,1
2025-08-12T13:56:49.371015,0.276,0.003,6,0,0,2.20,1
2025-08-12T13:56:51.401824,0.284,0.004,6,0,0,17.81,1
2025-08-12T13:56:53.449445,0.284,0.005,6,0,0,7.01,1
2025-08-12T13:56:55.514611,0.284,0.009,6,0,0,3.67,1
2025-08-12T13:56:56.528683,0.330,0.055,6,0,0,6.45,0
2025-08-12T13:56:57.540819,0.123,0.030,6,0,0,9.22,1
2025-08-12T13:56:58.546359,0.111,0.004,6,0,0,6.45,0
2025-08-12T13:56:59.581385,0.134,0.003,6,1,0,3.83,1
2025-08-12T13:57:00.590746,0.117,0.003,6,0,0,3.44,1
2025-08-12T13:57:01.594943,0.089,0.002,6,0,0,0.24,1
2025-08-12T13:57:02.595982,0.075,0.003,6,0,0,1.98,0
2025-08-12T13:57:03.597271,0.059,0.006,6,0,0,2.89,0
2025-08-12T13:57:04.603085,0.067,0.004,6,0,0,1.87,0
2025-08-12T13:57:05.604408,0.202,0.005,6,0,0,11.48,1
2025-08-12T13:57:08.541091,0.279,0.018,6,0,0,20.16,1
2025-08-12T13:57:09.556485,0.266,0.953,6,0,0,1.74,1
2025-08-12T13:57:10.563269,0.226,0.631,6,0,0,0.33,1
2025-08-12T13:57:11.578906,0.226,1.053,6,0,0,2.08,1
2025-08-12T13:57:12.580377,0.200,0.153,6,0,0,4.91,0
2025-08-12T13:57:13.635604,0.244,0.792,6,0,0,7.55,1
2025-08-12T13:57:14.642657,0.268,0.272,6,0,0,7.50,0
2025-08-12T13:57:15.655031,0.279,0.103,6,0,0,6.85,0
