timestamp,ear,mar,blink_count,drowsy,yawn,liveness_ok
2025-08-12T13:17:50.641349,0.253,0.097,0,0,0,0
2025-08-12T13:17:51.651667,0.314,0.005,0,0,0,0
2025-08-12T13:17:53.740962,0.309,0.006,0,0,0,1
2025-08-12T13:17:54.746097,0.329,0.015,0,0,0,0
2025-08-12T13:17:56.887452,0.321,0.018,0,0,0,1
2025-08-12T13:17:57.896813,0.277,0.042,0,0,0,0
2025-08-12T13:17:58.906670,0.365,0.031,0,0,0,0
2025-08-12T13:18:01.209585,0.354,0.031,0,0,0,1
2025-08-12T13:18:02.216977,0.258,0.005,0,0,0,1
2025-08-12T13:18:04.628742,0.268,0.011,0,0,0,1
2025-08-12T13:18:07.400912,0.278,0.029,0,0,0,1
2025-08-12T13:18:08.410744,0.282,0.018,0,0,0,1
2025-08-12T13:18:09.410927,0.299,0.056,0,0,0,1
2025-08-12T13:18:10.417537,0.306,0.004,0,0,0,1
2025-08-12T13:18:11.433843,0.329,0.003,0,0,0,1
2025-08-12T13:18:12.472354,0.352,0.008,0,0,0,0
2025-08-12T13:18:13.480362,0.331,0.005,0,0,0,0
2025-08-12T13:18:14.505783,0.327,0.005,0,0,0,1
2025-08-12T13:18:15.510264,0.308,0.003,0,0,0,1
2025-08-12T13:18:16.518177,0.294,0.003,0,0,0,0
2025-08-12T13:18:17.531473,0.345,0.004,0,0,0,1
2025-08-12T13:18:18.538001,0.216,0.003,1,0,0,1
2025-08-12T13:18:19.549134,0.324,0.003,1,0,0,1
2025-08-12T13:18:20.563561,0.337,0.003,2,0,0,1
2025-08-12T13:18:21.611052,0.346,0.004,2,0,0,1
2025-08-12T13:18:22.615132,0.305,0.005,3,0,0,1
2025-08-12T13:18:23.624184,0.338,0.004,3,0,0,1
2025-08-12T13:18:24.633819,0.192,0.005,5,0,0,1
2025-08-12T13:18:25.666986,0.320,0.003,6,0,0,1
2025-08-12T13:18:26.678730,0.325,0.001,8,0,0,1
2025-08-12T13:18:27.698378,0.207,0.003,10,0,0,1
2025-08-12T13:18:28.710420,0.231,0.003,11,1,0,1
2025-08-12T13:18:29.713749,0.328,0.006,11,0,0,1
2025-08-12T13:18:30.730318,0.163,0.009,12,0,0,1
