timestamp,avg_ear,mar,blink_count,drowsy,yawn,head_tilt_deg,liveness_ok
2025-08-12T11:48:38.665907,0.253,0.098,0,0,0,1.93,0
2025-08-12T11:48:39.674290,0.330,0.095,0,0,0,0.54,1
2025-08-12T11:48:40.697707,0.318,0.007,0,0,0,3.80,1
2025-08-12T11:48:41.704375,0.313,0.012,0,0,0,4.72,0
2025-08-12T11:48:42.711420,0.306,0.008,0,0,0,4.05,0
2025-08-12T11:48:43.739807,0.241,0.003,0,0,0,19.90,1
2025-08-12T11:48:44.800140,0.303,0.002,0,0,0,18.07,1
2025-08-12T11:48:45.856518,0.316,0.007,0,0,0,5.66,0
2025-08-12T11:48:46.861294,0.165,0.005,1,0,0,5.48,1
2025-08-12T11:48:47.887712,0.301,0.017,1,0,0,26.51,1
2025-08-12T11:48:48.924290,0.256,0.003,1,0,0,38.04,1
2025-08-12T11:48:49.929189,0.185,0.007,1,0,0,5.56,1
2025-08-12T11:48:50.934826,0.346,0.110,1,0,0,2.37,1
2025-08-12T11:48:51.948798,0.332,0.007,1,0,0,6.93,0
2025-08-12T11:48:52.963082,0.305,0.008,1,0,0,1.98,0
2025-08-12T11:48:54.007385,0.317,0.003,1,0,0,4.12,1
2025-08-12T11:48:55.017076,0.244,0.009,1,0,0,0.93,0
2025-08-12T11:48:56.030786,0.188,0.007,3,0,0,2.66,1
2025-08-12T11:48:57.032618,0.316,0.356,3,0,0,0.18,1
2025-08-12T11:48:58.034026,0.251,0.268,3,0,0,10.27,1
2025-08-12T11:48:59.079199,0.212,0.018,4,0,0,1.36,1
2025-08-12T11:49:00.100853,0.327,0.012,4,0,0,1.25,1
2025-08-12T11:49:01.102238,0.306,0.006,4,0,0,1.09,1
2025-08-12T11:49:02.109380,0.308,0.008,4,0,0,1.29,1
2025-08-12T11:49:03.114856,0.338,0.006,4,0,0,5.66,1
2025-08-12T11:49:04.136569,0.325,0.009,4,0,0,6.27,0
2025-08-12T11:49:05.156590,0.322,0.015,4,0,0,6.95,0
2025-08-12T11:49:06.168679,0.086,0.010,4,0,0,6.57,0
2025-08-12T11:49:07.177534,0.253,0.006,4,0,0,6.35,0
2025-08-12T11:49:08.199402,0.262,0.070,4,0,0,4.02,1
2025-08-12T11:49:09.238391,0.283,0.853,4,0,0,4.21,1
2025-08-12T11:49:10.246300,0.289,0.428,4,0,0,3.81,1
