timestamp,ear,mar,blink_count,drowsy,yawn,liveness_ok
2025-08-12T13:03:19.199081,0.251,0.001,0,0,0,0
2025-08-12T13:03:21.355451,0.292,0.006,0,0,0,1
2025-08-12T13:03:24.211399,0.304,0.006,1,0,0,1
2025-08-12T13:03:26.224113,0.301,0.007,1,0,0,1
2025-08-12T13:03:28.293513,0.297,0.007,1,0,0,1
2025-08-12T13:03:30.304204,0.290,0.007,1,0,0,1
2025-08-12T13:03:32.361808,0.297,0.007,1,0,0,1
2025-08-12T13:03:34.386761,0.302,0.006,1,0,0,1
2025-08-12T13:03:36.443862,0.306,0.005,1,0,0,1
2025-08-12T13:03:37.446444,0.346,0.011,1,0,0,1
2025-08-12T13:03:38.457473,0.141,0.006,1,1,0,1
2025-08-12T13:03:39.459906,0.330,0.007,1,0,0,0
2025-08-12T13:03:40.461957,0.352,0.010,1,0,0,1
2025-08-12T13:03:41.465080,0.361,0.006,1,0,0,0
2025-08-12T13:03:42.466168,0.323,0.006,1,0,0,0
2025-08-12T13:03:43.483691,0.309,0.005,1,0,0,0
2025-08-12T13:03:44.493821,0.144,0.003,1,1,0,0
2025-08-12T13:03:45.526240,0.146,0.003,1,1,0,0
2025-08-12T13:03:46.541388,0.144,0.003,1,1,0,0
2025-08-12T13:03:47.547142,0.113,0.003,1,1,0,0
2025-08-12T13:03:48.551166,0.296,0.002,1,0,0,0
2025-08-12T13:03:49.568105,0.336,0.013,1,0,0,1
2025-08-12T13:03:50.584630,0.308,0.010,1,0,0,1
2025-08-12T13:03:51.591330,0.304,0.012,1,0,0,0
2025-08-12T13:03:52.617480,0.304,0.015,2,0,0,1
2025-08-12T13:03:53.637816,0.314,0.003,2,0,0,1
2025-08-12T13:03:54.651373,0.321,0.005,2,0,0,1
2025-08-12T13:03:55.691287,0.345,0.003,2,0,0,1
2025-08-12T13:03:56.710153,0.319,0.002,2,0,0,1
2025-08-12T13:03:57.737954,0.328,0.001,2,0,0,0
2025-08-12T13:03:58.776048,0.364,0.001,3,0,0,1
2025-08-12T13:03:59.777238,0.341,0.003,3,0,0,1
2025-08-12T13:04:00.799461,0.338,0.002,3,0,0,1
2025-08-12T13:04:01.806966,0.330,0.001,3,0,0,1
2025-08-12T13:04:02.844394,0.342,0.002,3,0,0,1
